pressao (mbar),Dwyer digital (cc/min) (mL/min),Q (mbar.cc/min) (mbar.mL/min),pressao (Torr)
"2.15",513,"519796.5934","1.61263"
"2.04",479,"485346.1369","1.53013"
"1.79",406,"411378.9803","1.34261"
"1.62",362,"366796.0366","1.2151"
"1.42",308,"312080.6058","1.06509"
"1.23",253,"256351.9262","0.92258"
"1.02",200,"202649.744","0.76506"
"0.845",151,"153000.5567","0.6338"
"0.63",99,"100311.6233","0.47254"
"0.474",67,"67887.66424","0.35553"
"0.295",35,"35463.7052","0.22127"
"0.173",16,"16211.97952","0.12976"
"0.12",9,"9119.23848","0.09001"
