tempo (s),pressao (mbar),ln(P/P0)
0,1000,0
5,400,"-0.91629"
10,"25.9","-3.65351"
15,"2.88","-5.84996"
20,"0.885","-7.02992"
25,"0.512","-7.57719"
30,"0.358","-7.93498"
35,"0.266","-8.23201"
40,"0.232","-8.36877"
45,"0.204","-8.49739"
50,"0.186","-8.58976"
55,"0.17","-8.67971"
60,"0.156","-8.76565"
65,"0.146","-8.8319"
70,"0.139","-8.88104"
75,"0.133","-8.92516"
80,"0.128","-8.96348"
85,"0.123","-9.00333"
90,"0.12","-9.02802"
95,"0.115","-9.07058"
100,"0.111","-9.10598"
105,"0.109","-9.12416"
110,"0.105","-9.16155"
115,"0.102","-9.19054"
120,"0.1","-9.21034"
125,"0.098","-9.23054"
130,"0.0965","-9.24597"
135,"0.095","-9.26163"
140,"0.093","-9.28291"
145,"0.0915","-9.29917"
150,"0.09","-9.3157"
155,"0.0885","-9.33251"
160,"0.0875","-9.34387"
165,"0.0865","-9.35537"
170,"0.085","-9.37286"
175,"0.084","-9.38469"
180,"0.083","-9.39667"
185,"0.082","-9.40879"
190,"0.0815","-9.41491"
195,"0.0805","-9.42725"
200,"0.08","-9.43348"
205,"0.079","-9.44606"
210,"0.0785","-9.45241"
